tranaction_Id,transaction_date,district,complete_year,transaction_type,num_building,num_land,num_garage,garage_status,garage_label,total_floor_number,building_state,main_building_materials,land_shifting_total_area,building_shifting_total_area,main_building_area,subsidiary_building_area,balcony_area,num_room,num_bathroom,compartment,management_org,carpark_type,carpark_shifting_area,carpark_total_price,elevator,total_ntd,unit_ntd
21587,12/20/20,Neihu District,2009,Land+Building+Garage,1,1,1,1,Yes,14,Apartment_11storeyorgreater,Reinforced Concrete,15.09,200.82,89.17,7.31,5.32,3,2,1,1,Ramp Plane,0,0,1,33280000,165721
21588,12/10/20,Neihu District,1989,Land+Building,1,4,0,0,No,5,Apartment_5storey,Reinforced Concrete,57.83,137.04,111.22,0.73,15.85,3,2,1,0,No carpark,0,0,0,15000000,109457
21589,1/6/20,Neihu District,2020,Land+Building,1,2,0,0,No,11,Apartment_11storeyorgreater,Reinforced Concrete,10.8,50.75,27.92,2.54,1.23,1,1,1,1,No carpark,0,0,1,9880000,194680
21590,12/25/20,Zhongshan District,1973,Land+Building,1,2,0,0,No,4,Apartment_5storey,Reinforced Concrete,22.75,66.7,66.7,0,0,2,1,1,0,No carpark,0,0,0,11600000,173913
21591,12/9/20,Neihu District,1987,Land+Building,1,1,0,0,No,3,House,Reinforced Concrete,455.02,481.28,345.74,122.35,13.19,8,7,1,1,No carpark,0,0,0,100000000,207779
21592,12/5/20,Xinyi District,1985,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,30.18,108.61,88.38,0,10.23,3,2,1,1,No carpark,0,0,0,17750000,163429
21593,12/27/20,Songshan District,1983,Land+Building,1,1,0,0,No,7,Apartment_5to10storey,Reinforced Concrete,23,122.96,89.2,0,15.05,3,2,1,0,No carpark,0,0,1,24080000,195836
21594,12/24/20,Xinyi District,2018,Land+Building+Garage,1,2,2,1,Yes,31,Apartment_11storeyorgreater,Other,118.16,920.44,490.3,15.9,51.76,3,5,1,1,Ramp Plane,66.14,8800000,1,580000000,668618
21595,12/25/20,Songshan District,1999,Land+Building,1,1,0,0,No,11,Apartment_11storeyorgreater,Reinforced Concrete,35.74,202.6,101.88,4.2,11.6,4,2,1,1,No carpark,0,0,1,27580000,136130
21596,12/15/20,Xinyi District,1978,Land+Building,1,1,0,0,No,5,Apartment_5storey,Reinforced Concrete,27.8,97,86.25,0,10.75,3,2,1,0,No carpark,0,0,0,16200000,167010
21597,12/5/20,Songshan District,1974,Land+Building,1,2,0,0,No,4,Apartment_5storey,Reinforced Concrete,60,142.75,142.75,0,0,3,2,1,0,No carpark,0,0,0,22600000,158319
